Date,Close
1/29/2021,33937.45
1/28/2021,33488.99
1/27/2021,30407.13
1/26/2021,32510.82
1/25/2021,32261.87
1/24/2021,32288.56
1/23/2021,32112.01
1/22/2021,32984.93
1/21/2021,30855.95
1/20/2021,35503.09
1/19/2021,35917.28
1/18/2021,36624.23
1/17/2021,35820
1/16/2021,36006.94
1/15/2021,36754.67
1/14/2021,39125.14
1/13/2021,37393.66
1/12/2021,34038.98
1/11/2021,35452.59
1/10/2021,38171.57
1/9/2021,40257.43
1/8/2021,40665.15
1/7/2021,39505.56
1/6/2021,36859.26
1/5/2021,34030.64
1/4/2021,32019.99
1/3/2021,33080.66
1/2/2021,32225.91
1/1/2021,29412.84
12/31/2020,28990.08
12/30/2020,28897.42
12/29/2020,27366.35
12/28/2020,27040.36
12/27/2020,26258.65
12/26/2020,26475.35
12/25/2020,24704.71
12/24/2020,23717.96
12/23/2020,23228.35
12/22/2020,23823.27
12/21/2020,22729.4
12/20/2020,23476.51
12/19/2020,23849.99
12/18/2020,23137.76
12/17/2020,22826.48
12/16/2020,21359.65
12/15/2020,19444.6
12/14/2020,19272.37
12/13/2020,19166.65
12/12/2020,18821.28
12/11/2020,18042.15
12/10/2020,18253.44
12/9/2020,18546.55
12/8/2020,18316.22
12/7/2020,19177.71
12/6/2020,19375.6
12/5/2020,19158.96
12/4/2020,18658.1
12/3/2020,19448.64
12/2/2020,19225.63
12/1/2020,18782.97
11/30/2020,19713.94
11/29/2020,18202.04
11/28/2020,17739.85
11/27/2020,17153.95
11/26/2020,17170
11/25/2020,18721.93
11/24/2020,19172.84
11/23/2020,18384.82
11/22/2020,18437.66
11/21/2020,18721.21
11/20/2020,18675.25
11/19/2020,17821.58
11/18/2020,17782.91
11/17/2020,17679.36
11/16/2020,16726.64
11/15/2020,15966.89
11/14/2020,16082.01
11/13/2020,16339.56
11/12/2020,16310.81
11/11/2020,15705.79
11/10/2020,15315.03
11/9/2020,15342.25
11/8/2020,15482.9
11/7/2020,14834.09
11/6/2020,15599.95
11/5/2020,15608.21
11/4/2020,14161.48
11/3/2020,14035.8
11/2/2020,13563.22
11/1/2020,13771.59
10/31/2020,13804.81
10/30/2020,13571.51
10/29/2020,13460
10/28/2020,13281.05
10/27/2020,13698.18
10/26/2020,13068.79
10/25/2020,13045
10/24/2020,13126.24
10/23/2020,12937.09
10/22/2020,12987.02
10/21/2020,12808
10/20/2020,11923.83
10/19/2020,11760.45
